                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3654,                 4.6206,                 1.1594,                      0,                      0,                      0,                      0,                 2.2247,                 4.5189,                 1.0972,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.2843,                 4.5384,                 1.0983,                      0,                      0,                      0,                      0,                 2.3087,                 4.5026,                 1.0751,               0.090098,              0.0010978,              0.0010978
                      2,                 2.1568,                 4.4384,                 1.0395,                      0,                      0,                      0,                      0,                 1.9751,                 4.4052,                 1.0032,               0.084693,              0.0016933,              0.0016933
                      3,                 2.2102,                 4.0809,                 1.0154,                      0,                      0,                      0,                      0,                 1.9401,                 4.2992,                0.98778,               0.079286,              0.0022863,              0.0022863
                      4,                 2.0919,                 3.5834,                 1.0502,                      0,                      0,                      0,                      0,                 2.0545,                 4.1718,                0.98652,               0.073877,               0.002877,               0.002877
                      5,                 2.3691,                 3.2117,                 1.0158,                      0,                      0,                      0,                      0,                 2.7277,                 4.1005,                 1.0223,               0.068465,              0.0034654,              0.0034654
                      6,                 2.3031,                 2.9523,                 1.0095,                0.01289,                0.06214,                0.04583,                0.01227,                  2.278,                 3.7657,                 1.0233,               0.063051,              0.0040513,              0.0040513
                      7,                 2.6037,                 2.5596,                 1.0891,                0.02731,                0.12758,                0.08918,                0.02848,                 2.4613,                  3.609,                 1.0648,               0.057635,              0.0046349,              0.0046349
                      8,                 2.5745,                 2.3613,                 1.0668,                0.03457,                0.15972,                0.08846,                0.02816,                 2.2311,                 3.5527,                  1.058,               0.052216,               0.005216,               0.005216
                      9,                 2.6936,                 2.4748,                 1.0715,                0.04328,                0.26343,                0.12203,                0.04627,                 2.0578,                 3.3111,                 1.0501,               0.046795,              0.0057949,              0.0057949
                     10,                 2.1908,                 2.2541,                 1.0711,                0.05566,                0.26802,                0.17209,                0.07139,                  2.037,                  3.271,                 1.0144,               0.041371,              0.0063713,              0.0063713
                     11,                 2.2379,                 2.1247,                 1.0587,                0.02438,                0.18426,                0.03567,                 0.0096,                  3.133,                 3.2485,                 1.1566,               0.035945,              0.0069454,              0.0069454
                     12,                 2.6736,                 2.3422,                 1.0676,                0.04714,                0.27698,                0.19359,                0.06686,                 2.2673,                  2.914,                 1.0891,               0.030517,               0.007517,               0.007517
                     13,                 2.4275,                 1.9546,                 1.0979,                0.84445,                0.10691,                0.13187,                0.03379,                  2.742,                 2.5174,                  1.189,               0.025086,              0.0080864,              0.0080864
                     14,                 2.7259,                 1.9511,                 1.1315,                0.84445,                0.10691,                0.13187,                0.03379,                  2.742,                 2.5174,                  1.189,               0.019653,              0.0086533,              0.0086533
                     15,                 2.7542,                 1.9474,                 1.1151,                0.85994,                0.16286,                0.16548,                0.04192,                 2.6902,                 2.0667,                 1.1797,               0.014218,              0.0092178,              0.0092178
                     16,                 2.6463,                 1.9728,                 1.1174,                0.86348,                0.15747,                0.19082,                0.04949,                  2.564,                 2.2116,                 1.1967,              0.0096832,              0.0096832,              0.0096832
                     17,                 2.5172,                 1.9715,                 1.1245,                0.92806,                0.21729,                0.24618,                 0.0755,                 2.3384,                 2.0008,                 1.1496,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.5815,                 1.8703,                   1.13,                0.92806,                0.21729,                0.24618,                 0.0755,                 2.3384,                 2.0008,                 1.1496,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.7319,                 1.9295,                 1.1328,                0.87117,                0.17216,                 0.2005,                0.05093,                 2.7035,                 2.0207,                 1.2509,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.6029,                 1.9059,                 1.1119,                   0.84,                0.21329,                0.18737,                0.05855,                  2.407,                 1.9284,                 1.1132,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.5315,                 1.8999,                 1.0816,                0.65786,                0.21929,                0.18306,                 0.0522,                  2.632,                 1.7687,                 1.1469,               0.009604,               0.009604,               0.009604
                     22,                 2.6892,                 1.8418,                 1.1073,                0.65786,                0.21929,                0.18306,                 0.0522,                  2.632,                 1.7687,                 1.1469,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.4595,                 1.8928,                 1.0688,                0.70013,                0.18009,                0.21761,                0.07305,                 2.2841,                 2.0391,                 1.0961,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.3925,                 1.8527,                 1.0689,                0.64462,                0.25438,                0.17165,                0.06302,                 2.3541,                 1.7997,                  1.095,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.3334,                 1.7987,                 1.0216,                0.90341,                0.27201,                0.28387,                0.11106,                 2.1137,                  1.628,                 1.0536,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.1893,                 1.6707,                 1.0533,                0.90341,                0.27201,                0.28387,                0.11106,                 2.1137,                  1.628,                 1.0536,               0.009505,               0.009505,               0.009505
                     27,                 2.2526,                  1.749,                   1.08,                0.85508,                0.26236,                0.22742,                0.07681,                 2.3112,                 1.6735,                 1.0676,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.3343,                 1.6849,                  1.048,                0.89388,                0.23947,                0.24655,                0.07168,                 2.3665,                 1.5741,                 1.0729,              0.0094654,              0.0094654,              0.0094654
                     29,                  2.496,                 1.6595,                 1.0465,                0.90457,                0.26936,                0.27581,                 0.1064,                 2.1509,                 1.4093,                 1.0678,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.4105,                 1.5817,                 1.0494,                0.90457,                0.26936,                0.27581,                 0.1064,                 2.1509,                 1.4093,                 1.0678,              0.0094258,              0.0094258,              0.0094258
                     31,                 2.3539,                 1.7095,                 1.0338,                 0.5537,                0.32745,                0.27739,                0.09107,                 2.2688,                 1.8842,                  1.063,               0.009406,               0.009406,               0.009406
                     32,                 2.3466,                 1.7464,                 1.0525,                0.67821,                0.27996,                0.25688,                0.08583,                  2.362,                  1.519,                 1.0872,              0.0093862,              0.0093862,              0.0093862
                     33,                 2.4465,                 1.6478,                 1.0662,                0.93257,                0.26275,                 0.3318,                0.11775,                 2.1437,                 1.4195,                 1.0588,              0.0093664,              0.0093664,              0.0093664
                     34,                 2.3364,                 1.5348,                 1.0624,                0.93257,                0.26275,                 0.3318,                0.11775,                 2.1437,                 1.4195,                 1.0588,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.2473,                 1.5894,                 1.0133,                0.82655,                0.33007,                0.29566,                0.11958,                 2.3131,                 1.6686,                 1.0802,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.4084,                 1.6206,                 1.0561,                0.70338,                0.34289,                0.35836,                0.13552,                 2.1085,                 1.3763,                 1.0425,               0.009307,               0.009307,               0.009307
                     37,                 2.3558,                 1.5975,                 1.0318,                0.81879,                 0.3235,                0.29937,                0.09759,                 2.2863,                 1.5679,                 1.0479,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.1859,                 1.6646,                 1.0378,                0.81879,                 0.3235,                0.29937,                0.09759,                 2.2863,                 1.5679,                 1.0479,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.2578,                 1.5575,                 1.0211,                0.69649,                0.37629,                0.39025,                0.15757,                 2.0097,                 1.4022,                 1.0238,              0.0092476,              0.0092476,              0.0092476
                     40,                 2.1965,                 1.5614,                 1.0276,                0.59043,                0.35048,                0.32935,                0.11839,                 2.2126,                 1.4175,                 1.0591,              0.0092278,              0.0092278,              0.0092278
                     41,                 2.2378,                 1.6377,                 1.0709,                0.63192,                0.34594,                0.34253,                0.12751,                 2.1632,                 1.4048,                 1.0386,               0.009208,               0.009208,               0.009208
                     42,                 2.2304,                 1.6227,                 1.0315,                0.63192,                0.34594,                0.34253,                0.12751,                 2.1632,                 1.4048,                 1.0386,              0.0091882,              0.0091882,              0.0091882
                     43,                 2.1721,                 1.6045,                 1.0616,                0.48036,                0.39867,                0.39896,                0.15787,                 2.0114,                 1.3094,                 1.0324,              0.0091684,              0.0091684,              0.0091684
                     44,                 2.1224,                 1.5438,                 1.0395,                0.53474,                0.43628,                0.39047,                0.16903,                 2.0053,                 1.4923,                 1.0321,              0.0091486,              0.0091486,              0.0091486
                     45,                 2.1955,                 1.5245,                 1.0252,                0.36773,                0.33695,                0.27611,                0.08886,                 2.2765,                  1.428,                 1.0659,              0.0091288,              0.0091288,              0.0091288
                     46,                 2.3023,                 1.6382,                 1.0408,                0.36773,                0.33695,                0.27611,                0.08886,                 2.2765,                  1.428,                 1.0659,               0.009109,               0.009109,               0.009109
                     47,                 2.2427,                 1.5053,                 1.0215,                0.55414,                0.42087,                0.41674,                0.16441,                 2.1575,                 1.3292,                 1.0398,              0.0090892,              0.0090892,              0.0090892
                     48,                 2.2318,                 1.4929,                 1.0436,                0.51357,                0.45588,                0.46255,                0.17349,                 2.0923,                 1.4205,                 1.0465,              0.0090694,              0.0090694,              0.0090694
                     49,                 2.1587,                  1.427,                 1.0138,                0.51333,                 0.4114,                 0.4383,                0.17272,                 2.0596,                 1.3139,                 1.0364,              0.0090496,              0.0090496,              0.0090496
                     50,                 2.1183,                 1.4553,                 1.0089,                0.51333,                 0.4114,                 0.4383,                0.17272,                 2.0596,                 1.3139,                 1.0364,              0.0090298,              0.0090298,              0.0090298
                     51,                  2.148,                 1.4621,                 1.0128,                0.49911,                0.48998,                0.46364,                0.16577,                 2.0443,                 1.3585,                 1.0256,                0.00901,                0.00901,                0.00901
                     52,                 2.1732,                 1.4402,                  1.018,                0.76464,                0.47715,                0.54311,                0.22439,                 2.0133,                 1.2722,                 1.0247,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.0417,                 1.3846,                 1.0227,                0.78922,                0.50227,                0.51155,                0.17495,                 2.0998,                 1.3278,                  1.055,              0.0089704,              0.0089704,              0.0089704
